positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short,possible_reason
11,0.14328375458717346,"Tôi đã ký hợp đồng với một công ty xây dựng để xây nhà, nhưng hợp đồng ghi rõ rằng việc xây dựng sẽ chỉ bắt đầu khi tôi thanh toán 50% giá trị hợp đồng. Nếu tôi đã thanh toán nhưng công ty không bắt đầu xây dựng, tôi có thể yêu cầu họ hoàn tiền không","Điều 284. Thực hiện nghĩa vụ có điều kiện 1. Trường hợp các bên có thỏa thuận hoặc pháp luật có quy định về điều kiện thực hiện nghĩa vụ thì khi điều kiện phát sinh, bên có nghĩa vụ phải thực hiện. 2. Trường hợp điều kiện không xảy ra hoặc xảy ra do có sự tác động của một bên thì áp dụng quy định tại khoản 2 Điều 120 của Bộ luật này.","Theo Khoản 9 Điều 144 Luật Xây dựng, đồng tiền sử dụng trong thanh toán hợp đồng xây dựng là Đồng Việt Nam. Trường hợp các bên hợp đồng muốn sử dụng ngoại tệ để thanh toán, việc này phải do các bên thỏa thuận và không được trái với quy định của pháp luật về quản lý ngoại hối.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
11,0.10506844520568848,Tôi có một di chúc nhưng không có người thừa kế nào đến nhận nó sau khi tôi qua đời. Ai sẽ là người công bố di chúc trong trường hợp này?,"Điều 641. Gửi giữ di chúc 1. Người lập di chúc có thể yêu cầu tổ chức hành nghề công chứng lưu giữ hoặc gửi người khác giữ bản di chúc. 2. Trường hợp tổ chức hành nghề công chứng lưu giữ bản di chúc thì phải bảo quản, giữ gìn theo quy định của Bộ luật này và pháp luật về công chứng. 3. Người giữ bản di chúc có nghĩa vụ sau đây: a) Giữ bí mật nội du","Điều 657. Người phân chia di sản 1. Người phân chia di sản có thể đồng thời là người quản lý di sản được chỉ định trong di chúc hoặc được những người thừa kế thỏa thuận cử ra. 2. Người phân chia di sản phải chia di sản theo đúng di chúc hoặc đúng thỏa thuận của những người thừa kế theo pháp luật. 3. Người phân chia di sản được hưởng thù lao, nếu ng","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
10,0.15635305643081665,"Tôi và vợ tôi cùng góp vốn để mua một căn nhà, nhưng không có thỏa thuận rõ ràng về phần quyền sở hữu. Liệu tôi có quyền quyết định bán nhà mà không cần sự đồng ý của vợ không?","Điều 209. Sở hữu chung theo phần 1. Sở hữu chung theo phần là sở hữu chung mà trong đó phần quyền sở hữu của mỗi chủ sở hữu được xác định đối với tài sản chung. 2. Mỗi chủ sở hữu chung theo phần có quyền, nghĩa vụ đối với tài sản thuộc sở hữu chung tương ứng với phần quyền sở hữu của mình, trừ trường hợp có thỏa thuận khác.","Điều 213. Sở hữu chung của vợ chồng 1. Sở hữu chung của vợ chồng là sở hữu chung hợp nhất có thể phân chia. 2. Vợ chồng cùng nhau tạo lập, phát triển khối tài sản chung; có quyền ngang nhau trong việc chiếm hữu, sử dụng, định đoạt tài sản chung. 3. Vợ chồng thỏa thuận hoặc ủy quyền cho nhau chiếm hữu, sử dụng, định đoạt tài sản chung. 4. Tài sản ch","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
9,0.2075691819190979,Điều kiện bổ nhiệm chức danh viên chức dân số,"Tôi công tác trong ngành dân số-kế hoạch hóa gia đình của một huyện tại tỉnh Vĩnh Long, phụ trách công việc kế toán, truyền thông một số đề án của ngành. Khi Nghị định56/2011/NĐ-CPđược ban hành, tôi được hưởng 30% phụ cấp nhưng đến tháng 3/2017, Sở Y tế cắt hưởng chế độ này. Ngày 15/4/2016, Bộ Y tế, Bộ Nội vụ ban hành Thông tư liên tịch số08/2016/T","Tôi là viên chức, chức danh nghề nghiệp y sĩ hạng IV, mã số V.08.03.07, công tác ở trường học, lương bậc 8, hệ số 3,26. Vừa qua tôi trúng tuyển vào cơ quan y tế của tỉnh, vị trí y sĩ hạng IV, mã số V.08.03.07 và xin nghỉ làm bên trường học. Tại đơn vị mới tôi được ký hợp đồng làm việc, hệ số lương 2,06. Xin hỏi, trường hợp của tôi có được xếp hệ số","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
9,0.15181559324264526,"Tôi và hai người bạn cùng góp tiền mua một căn nhà. Hiện tại, một người bạn của tôi muốn bán phần quyền sở hữu của mình. Tôi muốn biết quyền lợi của tôi trong việc mua phần quyền sở hữu này là gì?",Điều 218. Định đoạt tài sản chung 1. Mỗi chủ sở hữu chung theo phần có quyền định đoạt phần quyền sở hữu của mình. 2. Việc định đoạt tài sản chung hợp nhất được thực hiện theo thỏa thuận của các chủ sở hữu chung hoặc theo quy định của pháp luật. 3. Trường hợp một chủ sở hữu chung theo phần bán phần quyền sở hữu của mình thì chủ sở hữu chung khác đư,"Điều 223. Xác lập quyền sở hữu theo hợp đồng Người được giao tài sản thông qua hợp đồng mua bán, tặng cho, trao đổi, cho vay hoặc hợp đồng chuyển quyền sở hữu khác theo quy định của pháp luật thì có quyền sở hữu tài sản đó.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
9,0.12870949506759644,Điều kiện chỉ định thầu gói thầu mua sắm thường xuyên,"Tôi xin hỏi, các gói thầu mua sắm từ nguồn ngân sách nhà nước chi thường xuyên không thực hiện tự chủ (như sửa chữa trụ sở, dịch vụ công nghệ thông tin, mua sắm trang phục ngành,…) có giá trị trên 100 triệu đồng đến dưới 500 triệu đồng có được thực hiện theo hình thức chỉ định thầu không? Ngoài ra, mua sắm thường xuyên quy định tại Khoản 2, Điều 15","Căn cứ quy định khoản 1 Điều 23 Luật Đấu thầu 2023 quy định về chỉ định thầu như sau: Chỉ định thầu 1. Chỉ định thầu được áp dụng trong các trường hợp sau đây: a) Gói thầu cấp bách cần triển khai nhằm mục tiêu bảo vệ chủ quyền, an ninh quốc gia; gói thầu cần thực hiện để khắc phục ngay hoặc để xử lý kịp thời hậu quả gây ra do thiên tai, hỏa hoạn, t","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.22174644470214844,"Tôi vừa được bổ nhiệm làm thành viên Hội đồng quản trị mới, tôi cần biết quyền hạn của mình trong việc giám sát hoạt động của Giám đốc công ty là gì?","Điều 153. Hội đồng quản trị 1. Hội đồng quản trị là cơ quan quản lý công ty, có toàn quyền nhân danh công ty để quyết định, thực hiện quyền và nghĩa vụ của công ty, trừ các quyền và nghĩa vụ thuộc thẩm quyền của Đại hội đồng cổ đông. 2. Hội đồng quản trị có quyền và nghĩa vụ sau đây: a) Quyết định chiến lược, kế hoạch phát triển trung hạn và kế hoạ","Điều 63. Giám đốc, Tổng giám đốc 1. Giám đốc hoặc Tổng giám đốc là người điều hành hoạt động kinh doanh hằng ngày của công ty, chịu trách nhiệm trước Hội đồng thành viên về việc thực hiện quyền và nghĩa vụ của mình. 2. Giám đốc hoặc Tổng giám đốc có quyền và nghĩa vụ sau đây: a) Tổ chức thực hiện nghị quyết, quyết định của Hội đồng thành viên; b) Q","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.21183401346206665,"Tôi ký hợp đồng mua bán đất với một công ty nhưng sau đó tôi phát hiện đất đó thuộc diện tranh chấp, vậy hợp đồng của tôi có vô hiệu không?","Điều 123. Giao dịch dân sự vô hiệu do vi phạm điều cấm của luật, trái đạo đức xã hội Giao dịch dân sự có mục đích, nội dung vi phạm điều cấm của luật, trái đạo đức xã hội thì vô hiệu. Điều cấm của luật là những quy định của luật không cho phép chủ thể thực hiện những hành vi nhất định. Đạo đức xã hội là những chuẩn mực ứng xử chung trong đời sống x","Điều 431. Đối tượng của hợp đồng mua bán 1. Tài sản được quy định tại Bộ luật này đều có thể là đối tượng của hợp đồng mua bán. Trường hợp theo quy định của luật, tài sản bị cấm hoặc bị hạn chế chuyển nhượng thì tài sản là đối tượng của hợp đồng mua bán phải phù hợp với các quy định đó. 2. Tài sản bán thuộc sở hữu của người bán hoặc người bán có qu","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.15474939346313477,"Mắc COVID-19 khi đi tập huấn, nhận hỗ trợ thế nào?","Tôi đi tập huấn cán bộ và bị mắc COVID-19, cách ly tại nhà từ ngày 2/12/2021 đến ngày 12/12/2021. Đến nay xã vẫn chưa có thông báo về việc hỗ trợ tiền ăn cho tôi? Xin hỏi, thời gian nhận được hỗ trợ là bao lâu?UBND xã Hội An Đông, huyện Lấp Vò, tỉnh Đồng Tháp trả lời vấn đề này như sau:Qua kiểm tra hồ sơ, ông Huỳnh Văn Sự có gửi hồ sơ đến UBND xã n","Co tôi hỏi, để được nhận hỗ trợ khó khăn do dịch COVID-19 theo chủ trương của Chính phủ thì đơn vị tôi phải đáp ứng thêm điều kiện là tạm dừng hoạt động theo yêu cầu của cơ quan nhà nước có thẩm quyền để phòng, chống dịch COVID-19 có phải không?Sở Lao động – Thương binh và Xã hội tỉnh Lâm Đồng trả lời vấn đề này như sau:Tại Điều 13 Quyết định số 23","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.11708685755729675,"Công ty tôi có nhiều cổ đông, khi thông qua quyết định thì cần thực hiện như thế nào để hợp lệ?","Điều 24. Điều lệ công ty 1. Điều lệ công ty bao gồm Điều lệ khi đăng ký doanh nghiệp và Điều lệ được sửa đổi, bổ sung trong quá trình hoạt động. 2. Điều lệ công ty bao gồm các nội dung chủ yếu sau đây: a) Tên, địa chỉ trụ sở chính của công ty; tên, địa chỉ chi nhánh và văn phòng đại diện (nếu có); b) Ngành, nghề kinh doanh; c) Vốn điều lệ; tổng số ","Điều 148. Điều kiện để nghị quyết Đại hội đồng cổ đông được thông qua 1. Nghị quyết về nội dung sau đây được thông qua nếu được số cổ đông đại diện từ 65% tổng số phiếu biểu quyết trở lên của tất cả cổ đông dự họp tán thành, trừ trường hợp quy định tại các khoản 3, 4 và 6 Điều này; tỷ lệ cụ thể do Điều lệ công ty quy định: a) Loại cổ phần và tổng s","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
