positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short
7,7.80078125,Người sử dụng lao động có trách nhiệm gì khi mức lương tối thiểu được điều chỉnh?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v","Người sử dụng lao động có nghĩa vụ đảm bảo an toàn lao động, vệ sinh lao động và cải thiện điều kiện làm việc."
7,3.71875,Người sử dụng lao động phải trả tiền lương làm thêm giờ vào ngày lễ như thế nào?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v"
7,0.984375,Người lao động có quyền yêu cầu điều chỉnh mức lương khi nào?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Xin hỏi, người làm việc hợp đồng theo Nghị định số 68/2000/NĐ-CP, hưởng lương theo Nghị định số 204/2004/NĐ-CP, nay chuyển sang hợp đồng theo Nghị định số 161/2018/NĐ-CP, có được hưởng phụ cấp khu vực, phụ cấp công vụ, phụ cấp công tác đảng, đoàn thể, phụ cấp thu hút, phụ cấp lâu năm... không?Bộ Nội vụ trả lời vấn đề này như sau:Khoản 2 Điều 4 Thôn"
6,24.171875,Người sử dụng lao động có trách nhiệm gì trong việc đảm bảo an toàn vệ sinh lao động?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Người sử dụng lao động có nghĩa vụ đảm bảo an toàn lao động, vệ sinh lao động và cải thiện điều kiện làm việc."
6,14.0390625,"Chồng tôi đã ký hợp đồng lao động với một công ty, nhưng công ty đó không có giấy phép hoạt động hợp pháp. Tôi có cần lo lắng về tính hiệu lực của hợp đồng này không?",Điều 49. Hợp đồng lao động vô hiệu 1. Hợp đồng lao động vô hiệu toàn bộ trong trường hợp sau đây: a) Toàn bộ nội dung của hợp đồng lao động vi phạm pháp luật; b) Người giao kết hợp đồng lao động không đúng thẩm quyền hoặc vi phạm nguyên tắc giao kết hợp đồng lao động quy định tại khoản 1 Điều 15 của Bộ luật này; c) Công việc đã giao kết trong hợp đ,"Điều 401. Hiệu lực của hợp đồng 1. Hợp đồng được giao kết hợp pháp có hiệu lực từ thời điểm giao kết, trừ trường hợp có thỏa thuận khác hoặc luật liên quan có quy định khác. 2. Từ thời điểm hợp đồng có hiệu lực, các bên phải thực hiện quyền và nghĩa vụ đối với nhau theo cam kết. Hợp đồng chỉ có thể bị sửa đổi hoặc hủy bỏ theo thỏa thuận của các bên"
6,2.765625,"Người sử dụng lao động phải tổ chức đào tạo, bồi dưỡng kỹ năng nghề cho người lao động bao nhiêu lần trong năm?","Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 60. Trách nhiệm của người sử dụng lao động về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề 1. Người sử dụng lao động xây dựng kế hoạch hằng năm và dành kinh phí cho việc đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề, phát triển kỹ năng nghề cho người lao động đang làm việc cho mình; đào tạo cho người lao động trước khi chuyển làm "
6,2.6640625,Người sử dụng lao động phải trả tiền lương vào thời gian nào?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v"
6,2.4140625,Người lao động có quyền yêu cầu điều chỉnh mức lương không?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 178. Quyền và nghĩa vụ của tổ chức đại diện người lao động tại cơ sở trong quan hệ lao động 1. Thương lượng tập thể với người sử dụng lao động theo quy định của Bộ luật này. 2. Đối thoại tại nơi làm việc theo quy định của Bộ luật này. 3. Được tham khảo ý kiến xây dựng và giám sát việc thực hiện thang lương, bảng lương, mức lao động, quy chế tr"
6,1.48828125,Luật Các tổ chức tín dụng (sửa đổi) này có hiệu lực thi hành từ ngày nào?,"Theo khoản 1 Điều 209 của Dự thảo Luật Các tổ chức tín dụng (sửa đổi), Luật này có hiệu lực thi hành từ ngày 01 tháng 7 năm 2024.","Theo Khoản 1 Điều 162 của Luật Các tổ chức tín dụng số 47/2010/QH12, Luật này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2011."
5,14.029296875,Người sử dụng lao động có trách nhiệm đóng bảo hiểm y tế cho người lao động không?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 459. Nghĩa vụ của người sử dụng lao động trong việc thực hiện chế độ bảo hiểm tai nạn lao động, bệnh nghề nghiệp. 1. Người sử dụng lao động có nghĩa vụ tham gia đóng bảo hiểm tai nạn lao động, bệnh nghề nghiệp cho người lao động theo quy định của pháp luật. 2. Người sử dụng lao động có trách nhiệm cung cấp đầy đủ thông tin và hỗ trợ người lao "
